team_1,team_2,cup_match,late_stage,weeks_ago,result
ITA,FRA,0,0,861,lost
SCO,ITA,0,0,860,won
FRA,WAL,0,0,860,won
IRE,ENG,0,0,860,lost
RSA,SCO,0,0,850,won
AUS,IRE,0,0,850,won
ARG,FRA,0,0,849,won
RSA,SCO,0,0,849,won
AUS,WAL,0,0,849,won
NZL,ENG,0,0,849,lost
TON,IRE,0,0,849,lost
ARG,FRA,0,0,848,won
SAM,IRE,0,0,848,lost
AUS,ENG,0,0,848,lost
NZL,WAL,0,0,848,won
NZL,FRA,0,0,847,won
RSA,ARG,0,0,847,won
RSA,AUS,0,0,845,won
RSA,NZL,0,0,844,lost
AUS,NZL,0,0,843,lost
AUS,RSA,0,0,842,won
NZL,RSA,0,0,841,won
IRE,WAL,0,0,840,won
NZL,AUS,0,0,840,won
ARG,FIJ,0,0,839,won
FRA,ROM,0,0,839,won
SCO,ITA,0,0,839,won
WAL,ENG,0,0,839,lost
WAL,ROM,0,0,838,won
IRE,ITA,0,0,838,won
WAL,SCO,0,0,838,won
FRA,ENG,0,0,838,won
SCO,IRE,0,0,837,lost
ENG,FRA,0,0,837,won
ITA,GEO,0,0,837,won
AUS,ARG,1,0,832,won
RSA,URU,1,0,832,won
NZL,ITA,1,0,832,won
IRE,ROM,1,0,832,won
FRA,FIJ,1,0,832,won
SCO,JPN,1,0,832,won
ENG,GEO,1,0,832,won
WAL,CAN,1,0,832,won
ARG,NAM,1,0,831,won
ITA,TON,1,0,831,won
FIJ,USA,1,0,831,won
SAM,URU,1,0,831,won
NZL,CAN,1,0,831,won
AUS,ROM,1,0,831,won
FRA,JPN,1,0,831,won
ENG,RSA,1,0,831,won
IRE,NAM,1,0,831,won
WAL,TON,1,0,831,won
GEO,SAM,1,0,831,lost
SCO,USA,1,0,830,won
ITA,CAN,1,0,830,won
ARG,ROM,1,0,830,won
FIJ,JPN,1,0,830,won
RSA,GEO,1,0,830,won
NZL,TON,1,0,830,won
AUS,NAM,1,0,830,won
FRA,SCO,1,0,830,won
WAL,ITA,1,0,830,won
ENG,SAM,1,0,830,won
IRE,ARG,1,0,830,won
USA,JPN,1,0,829,won
GEO,URU,1,0,829,lost
CAN,TON,1,0,829,won
NAM,ROM,1,0,829,lost
FRA,USA,1,0,829,won
AUS,IRE,1,0,829,won
SCO,FIJ,1,0,829,won
RSA,SAM,1,0,829,won
NZL,WAL,1,0,829,won
ENG,URU,1,0,829,won
AUS,SCO,1,1,828,won
NZL,RSA,1,1,828,won
FRA,IRE,1,1,828,won
ENG,WAL,1,1,828,won
AUS,NZL,1,0,827,won
ENG,FRA,1,0,827,won
NZL,FRA,1,0,826,won
AUS,ENG,1,1,826,lost
WAL,SCO,0,0,814,won
FRA,IRE,0,0,814,won
ITA,ENG,0,0,814,lost
SCO,ENG,0,0,813,lost
FRA,ITA,0,0,813,won
IRE,WAL,0,0,813,won
ITA,SCO,0,0,811,won
ENG,IRE,0,0,811,lost
WAL,FRA,0,0,811,lost
IRE,ITA,0,0,809,won
ENG,WAL,0,0,809,won
SCO,FRA,0,0,809,lost
IRE,SCO,0,0,808,won
WAL,ITA,0,0,808,won
FRA,ENG,0,0,808,won
SAM,TON,0,0,799,won
SCO,SAM,0,0,798,won
NZL,ENG,0,0,797,won
ARG,WAL,0,0,797,won
RSA,IRE,0,0,797,won
AUS,SCO,0,0,797,won
ARG,WAL,0,0,796,lost
RSA,IRE,0,0,796,won
AUS,SCO,0,0,796,won
NZL,ENG,0,0,796,won
AUS,ENG,0,0,795,won
RSA,WAL,0,0,795,won
NZL,ARG,0,0,795,won
ROM,ITA,0,0,795,won
AUS,PAC,0,0,794,won
USA,FRA,0,0,794,lost
JPN,ITA,0,0,794,lost
CAN,FRA,0,0,793,lost
NZL,PAC,0,0,793,won
NZL,AUS,0,0,792,won
RSA,PAC,0,0,792,won
NZL,RSA,0,0,791,won
AUS,RSA,0,0,790,won
AUS,NZL,0,0,789,won
RSA,NZL,0,0,788,won
RSA,AUS,0,0,787,won
SCO,AUS,0,0,776,lost
WAL,RSA,0,0,776,lost
ITA,CAN,0,0,776,won
WAL,ROM,0,0,775,won
ITA,NZL,0,0,775,lost
IRE,RSA,0,0,775,won
SCO,JPN,0,0,775,won
ENG,CAN,0,0,775,won
FRA,AUS,0,0,775,won
IRE,USA,0,0,774,won
SCO,AUS,0,0,774,lost
WAL,NZL,0,0,774,lost
ENG,RSA,0,0,774,won
FRA,ARG,0,0,774,lost
WAL,JPN,0,0,773,won
ENG,AUS,0,0,773,lost
IRE,ARG,0,0,773,won
SCO,RSA,0,0,773,lost
ITA,USA,0,0,773,won
FRA,NZL,0,0,773,lost
ARG,RSA,0,0,772,lost
FRA,SCO,0,0,763,won
WAL,ENG,0,0,763,won
ITA,IRE,0,0,763,lost
ITA,WAL,0,0,762,lost
SCO,IRE,0,0,762,lost
ENG,FRA,0,0,762,lost
SCO,ITA,0,0,760,won
FRA,WAL,0,0,760,lost
IRE,ENG,0,0,760,won
IRE,FRA,0,0,758,lost
ENG,ITA,0,0,758,won
SCO,WAL,0,0,758,lost
ITA,FRA,0,0,757,lost
WAL,IRE,0,0,757,won
ENG,SCO,0,0,757,won
ARG,JPN,0,0,752,won
LIO,ARG,0,0,747,lost
USA,WAL,0,0,746,lost
ROM,SCO,0,0,746,lost
NZL,FIJ,0,0,745,won
RSA,URU,0,0,745,won
AUS,SAM,0,0,745,won
CAN,WAL,0,0,745,lost
ARG,ITA,0,0,745,won
JPN,IRE,0,0,745,lost
ARG,ITA,0,0,744,lost
RSA,FRA,0,0,744,lost
JPN,IRE,0,0,744,lost
RSA,FRA,0,0,743,won
AUS,ITA,0,0,743,won
NZL,LIO,0,0,743,won
CAN,ARG,0,0,742,won
NZL,LIO,0,0,742,won
AUS,FRA,0,0,742,won
NZL,LIO,0,0,741,won
AUS,RSA,0,0,741,won
RSA,AUS,0,0,739,won
RSA,AUS,0,0,738,won
RSA,NZL,0,0,737,won
AUS,NZL,0,0,736,lost
AUS,RSA,0,0,735,lost
NZL,RSA,0,0,734,won
NZL,AUS,0,0,733,won
WAL,NZL,0,0,724,lost
ARG,RSA,0,0,724,lost
FRA,AUS,0,0,724,won
WAL,FIJ,0,0,723,won
IRE,NZL,0,0,723,lost
ENG,AUS,0,0,723,won
ITA,TON,0,0,723,won
FRA,CAN,0,0,723,won
SCO,ARG,0,0,723,lost
POR,FIJ,0,0,722,lost
ROM,CAN,0,0,722,won
ENG,NZL,0,0,722,lost
IRE,AUS,0,0,722,lost
ITA,ARG,0,0,722,lost
FRA,TON,0,0,722,won
WAL,RSA,0,0,722,lost
SCO,SAM,0,0,722,won
IRE,ROM,0,0,721,won
SCO,NZL,0,0,721,lost
ENG,SAM,0,0,721,won
ITA,FIJ,0,0,721,won
WAL,AUS,0,0,721,won
FRA,RSA,0,0,721,won
ARG,SAM,0,0,720,lost
IRE,ITA,0,0,711,won
ENG,WAL,0,0,711,won
SCO,FRA,0,0,711,won
FRA,IRE,0,0,710,won
ITA,ENG,0,0,710,lost
WAL,SCO,0,0,710,won
FRA,ITA,0,0,708,won
SCO,ENG,0,0,708,won
IRE,WAL,0,0,708,won
WAL,ITA,0,0,706,lost
IRE,SCO,0,0,706,won
FRA,ENG,0,0,706,won
ITA,SCO,0,0,705,lost
WAL,FRA,0,0,705,lost
ENG,IRE,0,0,705,lost
RSA,SCO,0,0,693,won
NZL,IRE,0,0,693,won
JPN,ITA,0,0,693,lost
ARG,WAL,0,0,693,won
AUS,ENG,0,0,693,won
RSA,SCO,0,0,692,won
FIJ,ITA,0,0,692,won
ARG,WAL,0,0,692,won
ROM,FRA,0,0,692,lost
NZL,IRE,0,0,692,won
AUS,ENG,0,0,692,won
RSA,FRA,0,0,691,lost
AUS,IRE,0,0,691,won
ARG,NZL,0,0,691,lost
TON,SAM,0,0,690,lost
ARG,URU,0,0,689,won
NZL,AUS,0,0,689,won
AUS,RSA,0,0,688,won
NZL,RSA,0,0,687,won
AUS,NZL,0,0,686,lost
AUS,RSA,0,0,685,won
NZL,AUS,0,0,683,won
RSA,NZL,0,0,682,lost
RSA,NZL,0,0,681,won
RSA,AUS,0,0,680,won
ITA,POR,0,0,676,won
RUS,ITA,0,0,675,lost
WAL,AUS,0,0,672,lost
ENG,NZL,0,0,672,lost
WAL,PAC,0,0,671,won
ENG,ARG,0,0,671,lost
SCO,ROM,0,0,671,won
ITA,AUS,0,0,671,lost
IRE,RSA,0,0,671,won
FRA,NZL,0,0,671,lost
WAL,CAN,0,0,670,won
ENG,RSA,0,0,670,won
SCO,PAC,0,0,670,won
ITA,ARG,0,0,670,lost
FRA,NZL,0,0,670,lost
IRE,AUS,0,0,670,won
ENG,RSA,0,0,669,lost
SCO,AUS,0,0,669,lost
ITA,CAN,0,0,669,won
FRA,ARG,0,0,669,won
WAL,NZL,0,0,669,lost
IRE,PAC,0,0,669,won
ITA,FRA,0,0,659,lost
ENG,SCO,0,0,659,won
WAL,IRE,0,0,659,lost
ENG,ITA,0,0,658,won
SCO,WAL,0,0,658,won
IRE,FRA,0,0,658,lost
SCO,ITA,0,0,656,lost
IRE,ENG,0,0,656,won
FRA,WAL,0,0,656,won
SCO,IRE,0,0,654,lost
ITA,WAL,0,0,654,won
ENG,FRA,0,0,654,won
ITA,IRE,0,0,653,lost
FRA,SCO,0,0,653,won
WAL,ENG,0,0,653,won
ARG,IRE,0,0,643,won
RSA,ENG,0,0,643,won
AUS,WAL,0,0,643,won
ARG,IRE,0,0,642,won
RSA,ENG,0,0,642,won
URU,ITA,0,0,642,lost
NZL,FRA,0,0,642,won
AUS,WAL,0,0,642,won
ARG,ITA,0,0,641,won
RSA,SAM,0,0,641,won
AUS,FIJ,0,0,641,won
NZL,FRA,0,0,641,won
RSA,AUS,0,0,640,won
NZL,CAN,0,0,640,won
RSA,NZL,0,0,639,lost
SAM,TON,0,0,639,won
AUS,NZL,0,0,638,won
AUS,RSA,0,0,637,won
NZL,RSA,0,0,636,won
NZL,AUS,0,0,635,won
ENG,WAL,0,0,633,won
SCO,IRE,0,0,632,won
ENG,FRA,0,0,632,lost
RSA,NAM,0,0,631,won
ITA,JPN,0,0,631,won
WAL,ARG,0,0,631,won
FRA,ENG,0,0,631,won
IRE,ITA,0,0,630,won
SCO,RSA,0,0,630,lost
WAL,FRA,0,0,630,lost
FRA,ARG,1,0,628,lost
NZL,ITA,1,0,628,won
AUS,JPN,1,0,628,won
ENG,USA,1,0,628,won
WAL,CAN,1,0,628,won
RSA,SAM,1,0,628,won
SCO,POR,1,0,628,won
IRE,NAM,1,0,628,won
ARG,GEO,1,0,627,won
USA,TON,1,0,627,lost
FIJ,JPN,1,0,627,won
ITA,ROM,1,0,627,won
ENG,RSA,1,0,627,lost
NZL,POR,1,0,627,won
WAL,AUS,1,0,627,lost
IRE,GEO,1,0,627,won
FIJ,CAN,1,0,627,won
SAM,TON,1,0,627,lost
FRA,NAM,1,0,627,won
SCO,ROM,1,0,626,won
ITA,POR,1,0,626,won
WAL,JPN,1,0,626,won
FRA,IRE,1,0,626,won
RSA,TON,1,0,626,won
ENG,SAM,1,0,626,won
ARG,NAM,1,0,626,won
AUS,FIJ,1,0,626,won
SCO,NZL,1,0,626,lost
CAN,JPN,1,0,625,lost
ROM,POR,1,0,625,won
GEO,NAM,1,0,625,won
USA,SAM,1,0,625,lost
ENG,TON,1,0,625,won
NZL,ROM,1,0,625,won
AUS,CAN,1,0,625,won
WAL,FIJ,1,0,625,lost
SCO,ITA,1,0,625,won
FRA,GEO,1,0,625,won
IRE,ARG,1,0,625,lost
RSA,USA,1,0,625,won
AUS,ENG,1,1,624,lost
NZL,FRA,1,1,624,lost
RSA,FIJ,1,1,624,won
ARG,SCO,1,1,624,won
FRA,ENG,1,0,623,lost
RSA,ARG,1,0,623,won
FRA,ARG,1,0,622,lost
RSA,ENG,1,1,622,won
WAL,RSA,0,0,617,lost
IRE,ITA,0,0,607,won
ENG,WAL,0,0,607,lost
SCO,FRA,0,0,607,lost
WAL,SCO,0,0,606,won
FRA,IRE,0,0,606,won
ITA,ENG,0,0,606,lost
WAL,ITA,0,0,604,won
IRE,SCO,0,0,604,won
FRA,ENG,0,0,604,lost
IRE,WAL,0,0,602,lost
SCO,ENG,0,0,602,won
FRA,ITA,0,0,602,won
ITA,SCO,0,0,601,won
ENG,IRE,0,0,601,won
WAL,FRA,0,0,601,won
ARG,SCO,0,0,589,won
RSA,WAL,0,0,589,won
NZL,IRE,0,0,589,won
AUS,IRE,0,0,588,won
ARG,SCO,0,0,588,lost
RSA,WAL,0,0,588,won
NZL,ENG,0,0,588,won
RSA,ITA,0,0,587,won
NZL,ENG,0,0,587,won
AUS,FRA,0,0,586,won
ARG,ITA,0,0,586,lost
AUS,FRA,0,0,585,won
NZL,RSA,0,0,585,won
NZL,RSA,0,0,584,lost
AUS,RSA,0,0,583,won
AUS,NZL,0,0,582,won
NZL,AUS,0,0,581,won
RSA,ARG,0,0,580,won
RSA,NZL,0,0,579,lost
RSA,AUS,0,0,578,lost
RSA,AUS,0,0,577,won
NZL,SAM,0,0,576,won
AUS,NZL,0,0,575,lost
NZL,AUS,0,0,568,won
IRE,CAN,0,0,567,won
ENG,PAC,0,0,567,won
WAL,RSA,0,0,567,lost
ITA,AUS,0,0,567,lost
SCO,NZL,0,0,567,lost
FRA,ARG,0,0,567,won
WAL,CAN,0,0,566,won
IRE,NZL,0,0,566,lost
ENG,AUS,0,0,566,lost
SCO,RSA,0,0,566,lost
ITA,ARG,0,0,566,lost
FRA,PAC,0,0,566,won
SCO,CAN,0,0,565,won
IRE,ARG,0,0,565,won
WAL,NZL,0,0,565,lost
ENG,RSA,0,0,565,lost
ITA,PAC,0,0,565,lost
FRA,AUS,0,0,565,lost
ENG,NZL,0,0,564,lost
WAL,AUS,0,0,564,won
ENG,ITA,0,0,554,won
IRE,FRA,0,0,554,won
SCO,WAL,0,0,554,lost
FRA,SCO,0,0,553,won
WAL,ENG,0,0,553,won
ITA,IRE,0,0,553,lost
FRA,WAL,0,0,551,won
ROM,RUS,0,0,551,lost
SCO,ITA,0,0,551,won
IRE,ENG,0,0,551,won
GEO,ROM,0,0,549,won
ITA,WAL,0,0,549,lost
SCO,IRE,0,0,549,lost
ENG,FRA,0,0,549,won
ITA,FRA,0,0,548,lost
ENG,SCO,0,0,548,won
WAL,IRE,0,0,548,lost
RUS,GEO,0,0,548,lost
CAN,IRE,0,0,539,lost
CAN,WAL,0,0,538,lost
USA,IRE,0,0,538,lost
ENG,ARG,0,0,537,won
USA,WAL,0,0,537,lost
ARG,ENG,0,0,536,won
AUS,ITA,0,0,536,won
NZL,FRA,0,0,536,lost
RSA,LIO,0,0,535,won
NZL,FRA,0,0,535,won
AUS,ITA,0,0,535,won
RSA,LIO,0,0,534,won
NZL,ITA,0,0,534,won
AUS,FRA,0,0,534,won
USA,CAN,0,0,533,won
RSA,LIO,0,0,533,lost
CAN,USA,0,0,532,won
NZL,AUS,0,0,531,won
RSA,NZL,0,0,530,won
RSA,NZL,0,0,529,won
RSA,AUS,0,0,528,won
AUS,NZL,0,0,526,lost
AUS,RSA,0,0,525,lost
AUS,RSA,0,0,524,won
NZL,RSA,0,0,523,lost
NZL,AUS,0,0,522,won
NZL,AUS,0,0,516,won
ENG,AUS,0,0,515,lost
WAL,NZL,0,0,515,lost
WAL,SAM,0,0,514,won
FRA,RSA,0,0,514,won
URU,USA,0,0,514,lost
ENG,ARG,0,0,514,won
SCO,FIJ,0,0,514,won
ITA,NZL,0,0,514,lost
IRE,AUS,0,0,514,lost
SCO,AUS,0,0,513,won
USA,URU,0,0,513,won
ENG,NZL,0,0,513,lost
WAL,ARG,0,0,513,won
ITA,RSA,0,0,513,lost
IRE,FIJ,0,0,513,won
FRA,SAM,0,0,513,won
FRA,NZL,0,0,512,lost
SCO,ARG,0,0,512,lost
IRE,RSA,0,0,512,won
ITA,SAM,0,0,512,won
WAL,AUS,0,0,512,lost
IRE,ITA,0,0,502,won
ENG,WAL,0,0,502,won
SCO,FRA,0,0,502,lost
WAL,SCO,0,0,501,won
FRA,IRE,0,0,501,won
ITA,ENG,0,0,501,lost
WAL,FRA,0,0,499,lost
RUS,ROM,0,0,499,lost
ITA,SCO,0,0,499,won
ENG,IRE,0,0,499,lost
ROM,GEO,0,0,497,won
IRE,WAL,0,0,497,won
SCO,ENG,0,0,497,lost
FRA,ITA,0,0,497,won
FRA,ENG,0,0,496,won
GEO,RUS,0,0,496,won
WAL,ITA,0,0,496,won
IRE,SCO,0,0,496,lost
AUS,FIJ,0,0,485,won
WAL,RSA,0,0,485,lost
NZL,IRE,0,0,484,won
AUS,ENG,0,0,484,won
ARG,SCO,0,0,484,lost
RSA,FRA,0,0,484,won
AUS,ENG,0,0,483,lost
ARG,SCO,0,0,483,lost
RSA,ITA,0,0,483,won
NZL,WAL,0,0,483,won
AUS,IRE,0,0,482,won
ARG,FRA,0,0,482,won
RSA,ITA,0,0,482,won
NZL,WAL,0,0,482,won
NZL,RSA,0,0,480,won
NZL,RSA,0,0,479,won
AUS,RSA,0,0,478,won
AUS,NZL,0,0,477,lost
NZL,AUS,0,0,476,won
RSA,NZL,0,0,474,lost
RSA,AUS,0,0,473,won
RSA,AUS,0,0,472,lost
AUS,NZL,0,0,471,lost
NZL,AUS,0,0,464,lost
WAL,AUS,0,0,463,lost
ENG,NZL,0,0,463,lost
IRE,RSA,0,0,463,lost
SCO,NZL,0,0,462,lost
URU,ROM,0,0,462,lost
WAL,RSA,0,0,462,lost
ENG,AUS,0,0,462,won
IRE,SAM,0,0,462,won
ITA,ARG,0,0,462,lost
FRA,FIJ,0,0,462,won
WAL,FIJ,0,0,461,lost
FRA,ARG,0,0,461,won
SCO,RSA,0,0,461,won
ENG,SAM,0,0,461,won
ITA,AUS,0,0,461,lost
IRE,NZL,0,0,461,lost
WAL,NZL,0,0,460,lost
FRA,AUS,0,0,460,lost
ROM,URU,0,0,460,won
ENG,RSA,0,0,460,lost
SCO,SAM,0,0,460,won
ITA,FIJ,0,0,460,won
IRE,ARG,0,0,460,won
WAL,ENG,0,0,450,lost
ITA,IRE,0,0,450,lost
FRA,SCO,0,0,450,won
ENG,ITA,0,0,449,won
SCO,WAL,0,0,449,lost
IRE,FRA,0,0,449,lost
ITA,WAL,0,0,447,lost
ENG,FRA,0,0,447,won
SCO,IRE,0,0,447,lost
ITA,FRA,0,0,445,won
WAL,IRE,0,0,445,won
ENG,SCO,0,0,445,won
SCO,ITA,0,0,444,won
IRE,ENG,0,0,444,won
FRA,WAL,0,0,444,won
AUS,SAM,0,0,427,lost
NZL,FIJ,0,0,426,won
AUS,RSA,0,0,426,won
NZL,RSA,0,0,425,won
NZL,AUS,0,0,424,won
ENG,WAL,0,0,424,won
SCO,IRE,0,0,424,won
RSA,AUS,0,0,423,lost
ITA,JPN,0,0,423,won
WAL,ENG,0,0,423,won
FRA,IRE,0,0,423,won
RSA,NZL,0,0,422,won
WAL,ARG,0,0,422,won
SCO,ITA,0,0,422,won
IRE,FRA,0,0,422,lost
AUS,NZL,0,0,421,won
IRE,ENG,0,0,421,lost
NZL,TON,1,0,419,won
SCO,ROM,1,0,419,won
FIJ,NAM,1,0,419,won
FRA,JPN,1,0,419,won
ARG,ENG,1,0,419,lost
AUS,ITA,1,0,419,won
IRE,USA,1,0,419,won
RSA,WAL,1,0,419,won
SAM,NAM,1,0,418,won
TON,CAN,1,0,418,lost
SCO,GEO,1,0,418,won
RUS,USA,1,0,418,lost
NZL,JPN,1,0,418,won
ARG,ROM,1,0,418,won
RSA,FIJ,1,0,418,won
AUS,IRE,1,0,418,lost
WAL,SAM,1,0,418,won
ENG,GEO,1,0,418,won
FRA,CAN,1,0,418,won
ITA,RUS,1,0,417,won
TON,JPN,1,0,417,won
RSA,NAM,1,0,417,won
AUS,USA,1,0,417,won
ENG,ROM,1,0,417,won
NZL,FRA,1,0,417,won
FIJ,SAM,1,0,417,lost
IRE,RUS,1,0,417,won
ARG,SCO,1,0,417,won
WAL,NAM,1,0,416,won
CAN,JPN,1,0,416,lost
ITA,USA,1,0,416,won
GEO,ROM,1,0,416,won
RSA,SAM,1,0,416,won
AUS,RUS,1,0,416,won
FRA,TON,1,0,416,lost
ENG,SCO,1,0,416,won
ARG,GEO,1,0,416,won
NZL,CAN,1,0,416,won
WAL,FIJ,1,0,416,won
IRE,ITA,1,0,416,won
IRE,WAL,1,1,415,lost
ENG,FRA,1,1,415,lost
RSA,AUS,1,1,415,lost
NZL,ARG,1,1,415,won
WAL,FRA,1,0,414,lost
NZL,AUS,1,0,414,won
WAL,AUS,1,0,413,lost
NZL,FRA,1,1,413,won
WAL,AUS,0,0,407,lost
FRA,ITA,0,0,398,won
SCO,ENG,0,0,398,lost
IRE,WAL,0,0,398,lost
ITA,ENG,0,0,397,lost
WAL,SCO,0,0,397,won
IRE,ITA,0,0,395,won
ENG,WAL,0,0,395,lost
SCO,FRA,0,0,395,lost
FRA,IRE,0,0,394,lost
WAL,ITA,0,0,393,won
IRE,SCO,0,0,393,won
FRA,ENG,0,0,393,lost
ITA,SCO,0,0,392,won
WAL,FRA,0,0,392,won
ENG,IRE,0,0,392,won
AUS,SCO,0,0,380,lost
ARG,ITA,0,0,380,won
RSA,ENG,0,0,380,won
NZL,IRE,0,0,380,won
AUS,WAL,0,0,380,won
CAN,ITA,0,0,379,lost
FIJ,SCO,0,0,379,lost
RSA,ENG,0,0,379,won
ARG,FRA,0,0,379,won
NZL,IRE,0,0,379,won
AUS,WAL,0,0,379,won
AUS,WAL,0,0,378,won
SAM,SCO,0,0,378,lost
RSA,ENG,0,0,378,lost
ARG,FRA,0,0,378,lost
NZL,IRE,0,0,378,won
USA,ITA,0,0,378,lost
AUS,NZL,0,0,370,lost
RSA,ARG,0,0,370,won
ARG,RSA,0,0,369,lost
NZL,AUS,0,0,369,won
AUS,RSA,0,0,367,won
NZL,ARG,0,0,367,won
AUS,ARG,0,0,366,won
NZL,RSA,0,0,366,won
RSA,AUS,0,0,364,won
ARG,NZL,0,0,364,lost
RSA,NZL,0,0,363,lost
ARG,AUS,0,0,363,lost
AUS,NZL,0,0,361,lost
FRA,AUS,0,0,358,won
ENG,FIJ,0,0,358,won
WAL,ARG,0,0,358,lost
ITA,TON,0,0,358,won
IRE,RSA,0,0,358,lost
SCO,NZL,0,0,358,lost
WAL,SAM,0,0,357,lost
ENG,AUS,0,0,357,lost
SCO,RSA,0,0,357,lost
ITA,NZL,0,0,357,lost
FRA,ARG,0,0,357,won
WAL,NZL,0,0,356,lost
IRE,ARG,0,0,356,won
ENG,RSA,0,0,356,lost
SCO,TON,0,0,356,lost
ITA,AUS,0,0,356,lost
FRA,SAM,0,0,356,won
ENG,NZL,0,0,355,won
WAL,AUS,0,0,355,lost
WAL,IRE,0,0,346,lost
ENG,SCO,0,0,346,won
ITA,FRA,0,0,346,won
SCO,ITA,0,0,345,won
FRA,WAL,0,0,345,lost
IRE,ENG,0,0,345,lost
ITA,WAL,0,0,343,lost
ENG,FRA,0,0,343,won
SCO,IRE,0,0,343,won
SCO,WAL,0,0,341,lost
IRE,FRA,0,0,341,lost
ENG,ITA,0,0,341,won
WAL,ENG,0,0,340,won
ITA,IRE,0,0,340,won
FRA,SCO,0,0,340,won
JPN,WAL,0,0,328,lost
SAM,SCO,0,0,328,won
ARG,ENG,0,0,328,lost
USA,IRE,0,0,328,lost
RSA,ITA,0,0,328,won
NZL,FRA,0,0,328,won
JPN,WAL,0,0,327,won
ITA,SAM,0,0,327,lost
ARG,ENG,0,0,327,lost
RSA,SCO,0,0,327,won
NZL,FRA,0,0,327,won
CAN,IRE,0,0,327,lost
JPN,CAN,0,0,326,won
AUS,LIO,0,0,326,lost
ITA,SCO,0,0,326,lost
ARG,GEO,0,0,326,won
RSA,SAM,0,0,326,won
NZL,FRA,0,0,326,won
JPN,USA,0,0,326,won
AUS,LIO,0,0,325,won
AUS,LIO,0,0,324,lost
AUS,NZL,0,0,318,lost
RSA,ARG,0,0,318,won
ARG,RSA,0,0,317,lost
NZL,AUS,0,0,317,won
AUS,RSA,0,0,315,lost
NZL,ARG,0,0,315,won
AUS,ARG,0,0,314,won
NZL,RSA,0,0,314,won
RSA,AUS,0,0,312,won
ARG,NZL,0,0,312,lost
RSA,NZL,0,0,311,lost
ARG,AUS,0,0,311,lost
NZL,AUS,0,0,309,won
ENG,AUS,0,0,307,won
JPN,NZL,0,0,307,lost
FRA,NZL,0,0,306,lost
ITA,AUS,0,0,306,lost
ENG,ARG,0,0,306,won
SCO,JPN,0,0,306,won
WAL,RSA,0,0,306,lost
IRE,SAM,0,0,306,won
FRA,TON,0,0,305,won
ITA,FIJ,0,0,305,won
ENG,NZL,0,0,305,lost
WAL,ARG,0,0,305,won
IRE,AUS,0,0,305,lost
SCO,RSA,0,0,305,lost
WAL,TON,0,0,304,won
FRA,RSA,0,0,304,lost
ITA,ARG,0,0,304,lost
SCO,AUS,0,0,304,lost
IRE,NZL,0,0,304,lost
WAL,AUS,0,0,303,lost
WAL,ITA,0,0,294,won
FRA,ENG,0,0,294,won
IRE,SCO,0,0,293,won
IRE,WAL,0,0,293,won
SCO,ENG,0,0,293,lost
FRA,ITA,0,0,293,won
WAL,FRA,0,0,291,won
ITA,SCO,0,0,291,lost
ENG,IRE,0,0,291,won
IRE,ITA,0,0,289,won
SCO,FRA,0,0,289,lost
ENG,WAL,0,0,289,won
ITA,ENG,0,0,288,lost
WAL,SCO,0,0,288,won
FRA,IRE,0,0,288,lost
AUS,FRA,0,0,276,won
FIJ,ITA,0,0,276,won
USA,SCO,0,0,276,lost
ARG,IRE,0,0,276,lost
NZL,ENG,0,0,276,won
AUS,FRA,0,0,275,won
SAM,ITA,0,0,275,won
ARG,IRE,0,0,275,lost
CAN,SCO,0,0,275,lost
RSA,WAL,0,0,275,won
NZL,ENG,0,0,275,won
AUS,FRA,0,0,274,won
JPN,ITA,0,0,274,won
ARG,SCO,0,0,274,lost
RSA,WAL,0,0,274,won
NZL,ENG,0,0,274,won
RSA,SCO,0,0,273,won
AUS,NZL,0,0,266,lost
RSA,ARG,0,0,266,won
NZL,AUS,0,0,265,won
ARG,RSA,0,0,265,lost
AUS,RSA,0,0,263,won
NZL,ARG,0,0,263,won
AUS,ARG,0,0,262,won
NZL,RSA,0,0,262,won
RSA,AUS,0,0,260,won
ARG,NZL,0,0,260,lost
RSA,NZL,0,0,259,won
ARG,AUS,0,0,259,won
AUS,NZL,0,0,257,lost
USA,NZL,0,0,255,lost
CAN,NAM,0,0,254,won
ENG,NZL,0,0,254,lost
SCO,ARG,0,0,254,won
WAL,AUS,0,0,254,lost
ITA,SAM,0,0,254,won
GEO,TON,0,0,254,lost
ROM,USA,0,0,254,lost
IRE,RSA,0,0,254,won
FRA,FIJ,0,0,254,won
CAN,SAM,0,0,253,lost
WAL,FIJ,0,0,253,won
SCO,NZL,0,0,253,lost
FRA,AUS,0,0,253,won
ENG,RSA,0,0,253,lost
ITA,ARG,0,0,253,lost
ROM,JPN,0,0,253,won
USA,TON,0,0,253,lost
IRE,GEO,0,0,253,won
USA,FIJ,0,0,252,lost
ENG,SAM,0,0,252,won
SCO,TON,0,0,252,won
ITA,RSA,0,0,252,lost
POR,NAM,0,0,252,won
IRE,AUS,0,0,252,won
WAL,NZL,0,0,252,lost
ROM,CAN,0,0,252,won
FRA,ARG,0,0,252,lost
GEO,JPN,0,0,252,won
ENG,AUS,0,0,251,won
WAL,RSA,0,0,251,won
WAL,ENG,0,0,241,lost
ITA,IRE,0,0,241,lost
FRA,SCO,0,0,241,won
ENG,ITA,0,0,240,won
IRE,FRA,0,0,240,won
SCO,WAL,0,0,240,lost
SCO,ITA,0,0,238,lost
FRA,WAL,0,0,238,lost
