team_1,team_2,cup_match,late_stage,weeks_ago,result
SCO,ENG,1,0,1456,lost
NZL,AUS,1,0,1456,lost
NZL,SCO,1,0,1455,won
ENG,AUS,1,1,1455,lost
SCO,ENG,0,0,1444,lost
IRE,WAL,0,0,1444,lost
WAL,FRA,0,0,1442,lost
ENG,IRE,0,0,1442,won
IRE,SCO,0,0,1440,lost
FRA,ENG,0,0,1440,lost
SCO,FRA,0,0,1437,won
ENG,WAL,0,0,1437,won
WAL,SCO,0,0,1435,won
FRA,IRE,0,0,1435,won
NZL,WOR,0,0,1431,lost
NZL,WOR,0,0,1430,won
NZL,WOR,0,0,1430,won
FRA,ROM,0,0,1425,won
NZL,IRE,0,0,1425,won
NZL,IRE,0,0,1424,won
AUS,SCO,0,0,1423,won
AUS,SCO,0,0,1422,won
ARG,FRA,0,0,1420,lost
AUS,NZL,0,0,1420,won
ARG,FRA,0,0,1419,lost
AUS,NZL,0,0,1418,won
AUS,NZL,0,0,1417,lost
RSA,NZL,0,0,1414,lost
RSA,AUS,0,0,1413,lost
ENG,CAN,0,0,1405,won
FRA,RSA,0,0,1405,lost
FRA,RSA,0,0,1404,won
SPA,ARG,0,0,1404,lost
IRE,AUS,0,0,1403,lost
ROM,ARG,0,0,1403,lost
ENG,RSA,0,0,1401,won
FRA,ARG,0,0,1401,lost
WAL,AUS,0,0,1400,lost
SCO,IRE,0,0,1392,won
ENG,FRA,0,0,1392,won
WAL,ENG,0,0,1389,won
FRA,SCO,0,0,1389,won
IRE,FRA,0,0,1387,lost
SCO,WAL,0,0,1387,won
ENG,SCO,0,0,1385,won
WAL,IRE,0,0,1385,lost
IRE,ENG,0,0,1383,won
FRA,WAL,0,0,1383,won
ARG,JPN,0,0,1375,won
ROM,FRA,0,0,1374,lost
ZIM,WAL,0,0,1374,lost
ARG,JPN,0,0,1374,won
ZIM,WAL,0,0,1373,lost
NAM,WAL,0,0,1372,lost
NZL,LIO,0,0,1371,won
RSA,FRA,0,0,1369,lost
NZL,LIO,0,0,1369,lost
RSA,FRA,0,0,1368,lost
NZL,LIO,0,0,1368,won
AUS,TON,0,0,1368,won
NZL,AUS,0,0,1366,won
AUS,RSA,0,0,1364,lost
NZL,SAM,0,0,1364,won
AUS,RSA,0,0,1362,won
AUS,RSA,0,0,1361,won
CAN,AUS,0,0,1354,lost
WAL,JPN,0,0,1353,won
FRA,ROM,0,0,1353,won
URU,ARG,0,0,1352,lost
FRA,AUS,0,0,1351,won
ARG,RSA,0,0,1350,lost
FRA,AUS,0,0,1350,lost
WAL,CAN,0,0,1349,lost
ARG,RSA,0,0,1349,lost
IRE,ROM,0,0,1349,won
SCO,NZL,0,0,1348,lost
ENG,NZL,0,0,1347,won
WAL,SCO,0,0,1340,won
FRA,IRE,0,0,1340,won
SCO,ENG,0,0,1337,lost
IRE,WAL,0,0,1337,lost
WAL,FRA,0,0,1335,won
ENG,IRE,0,0,1335,lost
IRE,SCO,0,0,1333,lost
FRA,ENG,0,0,1333,lost
SCO,FRA,0,0,1331,lost
ENG,WAL,0,0,1331,won
ITA,CZR,0,0,1322,won
POR,WAL,0,0,1322,lost
SPA,WAL,0,0,1322,lost
USA,ARG,0,0,1321,lost
ARG,SCO,0,0,1320,won
RSA,ENG,0,0,1320,lost
CAN,FRA,0,0,1320,won
AUS,IRE,0,0,1320,won
ARG,SCO,0,0,1319,won
RSA,ENG,0,0,1319,won
AUS,IRE,0,0,1319,won
CAN,WAL,0,0,1319,lost
AUS,ITA,0,0,1318,won
FIJ,WAL,0,0,1318,lost
ARG,USA,0,0,1317,won
TON,WAL,0,0,1317,lost
AUS,ITA,0,0,1317,won
SAM,WAL,0,0,1317,won
NZL,FRA,0,0,1317,lost
NZL,FRA,0,0,1316,lost
NZL,RSA,0,0,1315,won
NZL,RSA,0,0,1313,won
NZL,RSA,0,0,1311,lost
AUS,SAM,0,0,1311,won
AUS,NZL,0,0,1309,won
ROM,WAL,0,0,1305,lost
ITA,ROM,0,0,1303,won
RSA,ARG,0,0,1302,won
WAL,ITA,0,0,1301,won
RSA,ARG,0,0,1301,won
IRE,USA,0,0,1298,won
ENG,ROM,0,0,1297,won
SCO,RSA,0,0,1296,lost
WAL,RSA,0,0,1295,lost
ENG,CAN,0,0,1293,won
FRA,CAN,0,0,1292,won
IRE,ENG,0,0,1287,lost
FRA,WAL,0,0,1287,won
SCO,CAN,0,0,1287,won
SCO,IRE,0,0,1285,won
ENG,FRA,0,0,1285,won
WAL,ENG,0,0,1283,lost
FRA,SCO,0,0,1283,lost
IRE,FRA,0,0,1281,lost
SCO,WAL,0,0,1281,won
ARG,CAN,0,0,1280,won
ENG,SCO,0,0,1279,won
WAL,IRE,0,0,1279,lost
ROM,FRA,0,0,1276,lost
RSA,SAM,0,0,1275,won
SCO,ROM,0,0,1274,won
NZL,CAN,0,0,1274,won
AUS,ARG,0,0,1273,won
ITA,IRE,0,0,1272,won
AUS,ARG,0,0,1272,won
RSA,AUS,1,0,1269,won
FRA,TON,1,0,1269,won
ROM,CAN,1,0,1269,lost
NZL,IRE,1,0,1269,won
ITA,SAM,1,0,1269,lost
ENG,ARG,1,0,1269,won
WAL,JPN,1,0,1269,won
RSA,ROM,1,0,1268,won
SCO,TON,1,0,1268,won
ARG,SAM,1,0,1268,lost
AUS,CAN,1,0,1268,won
NZL,WAL,1,0,1268,won
ENG,ITA,1,0,1268,won
IRE,JPN,1,0,1268,won
RSA,CAN,1,0,1268,won
AUS,ROM,1,0,1268,won
FRA,SCO,1,0,1268,won
IRE,WAL,1,0,1268,won
ARG,ITA,1,0,1268,lost
ENG,SAM,1,0,1268,won
NZL,JPN,1,0,1268,won
RSA,SAM,1,1,1267,won
